Ticker,last_updated,Best_p,Best_q
LT,2024-07-06 16:01:02.475466,0,0
SBIN,2024-07-07 15:03:02.224408,0,2
INFY,2024-07-07 15:06:10.549342,4,2
RELIANCE,2024-07-07 15:09:42.134802,4,2
TCS,2024-07-07 15:12:33.756928,1,3
ADANIENT,2024-07-07 15:15:12.973538,1,4
MARUTI,2024-07-07 15:19:00.077121,3,3
ULTRACEMCO,2024-07-07 15:22:11.842369,3,0
